## object_type
# 1: Comida
# 2: Arma
# 3: Armadura
# 4: Arbol
# 5: Dinero
# 6: Puerta
# 7: Contenedor
# 8: Cartel
# 9: Llave
# 10: Foro
# 11: Pocion
# 12: Libro
# 13: Bebida
# 14: Leña
# 15: Fogata
# 16: Escudo
# 17: Casco
# 18: Anillo
# 19: Teletransporte
# 20: Mueble
# 21: Joya
# 22: Yacimiento
# 23: Metal
# 24: Pergamino
# 25: Aura
# 26: Instrumento musical
# 27: Yunque
# 28: Fragua
# 29: Gema
# 30: Flor
# 31: Barco
# 32: Flecha
# 33: Botella vacia
# 34: Botella llena
# 35: Mancha

## potion_type
# 1: Aumenta la agilidad
# 2: Aumenta la fuerza
# 3: Repone vida
# 4: Repone mana
# 5: Cura el envenenamiento

# TODO Claves no especificadas en el codigo: RazaEnanaAnim, IndexCerradaLlave, CantItems, NroItems, MinST, Real, Mujer, Upgrade, Caos, Log
# TODO Cuidado con las 'ñ'

[INIT]
object_count = 1052

[OBJ1]
name = Manzana Roja
graphic_index = 506
object_type = 1
hunger_points = 10
value = 2

[OBJ2]
name = Espada Larga
graphic_index = 504
object_type = 2
equipped_weapon_graphic = 21
RazaEnanaAnim = 72
min_hit = 1
max_hit = 8
value = 210
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
iron_ingot = 3
smithing_skill = 25

[OBJ3]
name = Hacha
graphic_index = 505
object_type = 2
equipped_weapon_graphic = 25
min_hit = 2
max_hit = 6
value = 140
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = CLERIGO
iron_ingot = 2
smithing_skill = 15

[OBJ4]
name = Arbol
graphic_index = 7000
object_type = 4
pickupable = 0

[OBJ5]
name = Arbol
graphic_index = 7001
object_type = 4
pickupable = 0

[OBJ6]
name = Arbol
graphic_index = 7002
object_type = 4
pickupable = 0

# Puerta para negocio porque no tiene clave
[OBJ7]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
open_index = 7
closed_index = 8
IndexCerradaLlave = 8

# Puerta para negocio porque no tiene clave
[OBJ8]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
open_index = 7
closed_index = 8
IndexCerradaLlave = 8

[OBJ9]
name = Horquilla
graphic_index = 508
object_type = 2
equipped_weapon_graphic = 26
min_hit = 1
max_hit = 2
value = 70
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = CLERIGO
iron_ingot = 1
smithing_skill = 10

[OBJ10]
name = Cofre Abierto
graphic_index = 502
object_type = 7
CantItems = 10
NroItems = 0

[OBJ11]
name = Cofre Cerrado
graphic_index = 503
object_type = 7
CantItems = 10
NroItems = 0

[OBJ12]
name = Monedas de Oro
graphic_index = 511
object_type = 5

[OBJ13]
name = Cartel Armas
graphic_index = 500
big_graphic = 501
object_type = 8
pickupable = 0
text = Tenemos las mejores armas para los mejores guerreros.

[OBJ14]
name = Llave
graphic_index = 509
object_type = 9
key = 2
respawnable = 0

[OBJ15]
name = Daga
graphic_index = 510
object_type = 2
equipped_weapon_graphic = 12
RazaEnanaAnim = 48
min_hit = 1
max_hit = 2
stabbing = 1
value = 140
iron_ingot = 2
Upgrade = 165
smithing_skill = 10

# Casa Ruinas

[OBJ16]
name = Puerta de madera abierta 2
graphic_index = 5599
object_type = 6
pickupable = 0
open_index = 16
closed_index = 17
IndexCerradaLlave = 17

# Casa Ruinas
[OBJ17]
name = Puerta de madera cerrada 2
graphic_index = 5600
object_type = 6
pickupable = 0
open_index = 16
closed_index = 17
IndexCerradaLlave = 17

[OBJ18]
name = Cartel Comida
graphic_index = 512
big_graphic = 501
object_type = 8
pickupable = 0
text = La mejor comida, al mejor precio!

[OBJ19]
name = Espada Dos Manos
graphic_index = 5748
object_type = 2
equipped_weapon_graphic = 1
RazaEnanaAnim = 66
min_hit = 4
max_hit = 9
value = 1120
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = CLERIGO
iron_ingot = 16
smithing_skill = 20

[OBJ20]
name = Lapida
graphic_index = 513
big_graphic = 514
object_type = 8
pickupable = 0
text = Aqui yace Durmin Van Brick, otrora gran guerrero del Imperio.

[OBJ21]
name = Porcion de Tarta
graphic_index = 515
object_type = 1
hunger_points = 15
value = 2

[OBJ22]
name = Frutas del Bosque
graphic_index = 516
object_type = 1
hunger_points = 15
value = 2

[OBJ23]
name = Pan de Trigo
graphic_index = 517
object_type = 1
hunger_points = 25
value = 3

[OBJ24]
name = Pan de Maiz
graphic_index = 518
object_type = 1
hunger_points = 25
value = 3

[OBJ25]
name = Pastel
graphic_index = 519
object_type = 1
hunger_points = 90
value = 9

[OBJ26]
name = Pollo
graphic_index = 520
object_type = 1
hunger_points = 75
value = 7

[OBJ27]
name = Chuleta
graphic_index = 521
object_type = 1
hunger_points = 100
value = 10

[OBJ28]
name = Queso de Cabra
graphic_index = 522
object_type = 1
hunger_points = 50
value = 6

[OBJ29]
name = Sandia
graphic_index = 523
object_type = 1
hunger_points = 40
value = 5

[OBJ30]
name = Armadura de Cuero
graphic_index = 526
object_type = 3
equipped_armor_graphic = 22
max_armor_defense = 15
min_armor_defense = 10
value = 4600
forbidden_archetype1 = MAGO

[OBJ31]
name = Vestimentas Comunes
graphic_index = 527
object_type = 3
equipped_armor_graphic = 1
value = 50

[OBJ32]
name = Vestimentas Comunes
graphic_index = 528
object_type = 3
equipped_armor_graphic = 2
value = 50

[OBJ33]
name = Cartel Sastre
graphic_index = 530
big_graphic = 501
object_type = 8
pickupable = 0
text = Ropa Azrra, los mejores precios!

[OBJ34]
name = Foro de Ullathorpe
forum_name = Ullathorpe
graphic_index = 529
object_type = 10
pickupable = 0

[OBJ35]
name = Vestimentas Comunes
graphic_index = 535
object_type = 3
equipped_armor_graphic = 3
value = 50

[OBJ36]
name = Pocion Amarilla
graphic_index = 540
object_type = 11
potion_type = 1
max_modifier = 5
min_modifier = 3
effect_duration = 1000
value = 120

[OBJ37]
name = Pocion Azul
graphic_index = 541
object_type = 11
potion_type = 4
max_modifier = 20
min_modifier = 12
value = 25

[OBJ38]
name = Pocion Roja
graphic_index = 542
object_type = 11
potion_type = 3
max_modifier = 30
min_modifier = 30
value = 20

[OBJ39]
name = Pocion Verde
graphic_index = 543
object_type = 11
potion_type = 2
max_modifier = 6
min_modifier = 2
effect_duration = 1000
value = 180

[OBJ40]
name = Atlas Argentum
graphic_index = 538
object_type = 12
respawnable = 0

[OBJ41]
name = Libro Antiguo
graphic_index = 539
object_type = 12
respawnable = 0

[OBJ42]
name = Vino
graphic_index = 536
object_type = 13
thirst_points = 90
MinST = 5
value = 10

[OBJ43]
name = Botella de Agua
graphic_index = 537
object_type = 13
MinST = 3
thirst_points = 30
value = 3

[OBJ44]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1

[OBJ45]
name = Ropa de Clan
graphic_index = 544
object_type = 3
equipped_armor_graphic = 35
value = 80

# Nieve 1
[OBJ46]
name = Arbol
graphic_index = 641
object_type = 4
pickupable = 0

# Nieve 2
[OBJ47]
name = Arbol
graphic_index = 642
object_type = 4
pickupable = 0

# Nieve 3
[OBJ48]
name = Arbol
graphic_index = 641
object_type = 4
pickupable = 0

# Nieve 4
[OBJ49]
name = Arbol
graphic_index = 644
object_type = 4
pickupable = 0

# Nieve 5
[OBJ50]
name = Arbol
graphic_index = 647
object_type = 4
pickupable = 0

## Casas de Ullathorpe ##

# Casa 1 Ullathorpe
[OBJ51]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 2
open_index = 51
closed_index = 52
IndexCerradaLlave = 53

[OBJ52]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 2
open_index = 51
closed_index = 52
IndexCerradaLlave = 53

[OBJ53]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 2
open_index = 51
closed_index = 52
IndexCerradaLlave = 53

[OBJ54]
name = Llave Ullathorpe Casa Nro 1
graphic_index = 509
object_type = 9
key = 2
value = 10000000
respawnable = 0

[OBJ55]
name = Puerta de madera abierta
graphic_index = 5599
object_type = 6
pickupable = 0
key = 3

[OBJ56]
name = Puerta de madera cerrada
graphic_index = 5600
object_type = 6
pickupable = 0
key = 3

[OBJ57]
name = Puerta de madera cerrada
graphic_index = 5600
object_type = 6
pickupable = 0
locked = 1
key = 3

[OBJ58]
name = Leña
graphic_index = 550
object_type = 14
value = 5
respawnable = 0

[OBJ59]
name = Cartel Pociones
graphic_index = 546
big_graphic = 501
object_type = 8
pickupable = 0
text = Pociones, aumente su fuerza, agilidad, recupere salud y demas efectos magicos!

[OBJ60]
name = Casa Numero 1
graphic_index = 547
